passo 52	a = 1	+dist = 0.734847	+ror = 5.4	AV = 2.40653	AV2 = 20.2
passo 53	a = 5	+dist = 0.768115	+ror = 5.9	AV = 2.31979	AV2 = 18.5
passo 54	a = 2	+dist = 0.707107	+ror = 5	AV = 2.15563	AV2 = 15.8
passo 55	a = 0	+dist = 0.640312	+ror = 4.1	AV = 2.28371	AV2 = 17.9
passo 56	a = 2	+dist = 0.583095	+ror = 3.4	AV = 2.15263	AV2 = 16.4
passo 57	a = 2	+dist = 0.538516	+ror = 2.9	AV = 2.10073	AV2 = 15.7
passo 58	a = 0	+dist = 0.469042	+ror = 2.2	AV = 2.03638	AV2 = 14.6
passo 59	a = 0	+dist = 0.412311	+ror = 1.7	AV = 1.89457	AV2 = 12.7
passo 60	a = 1	+dist = 0.469042	+ror = 2.2	AV = 1.85438	AV2 = 11.8
passo 61	a = 4	+dist = 0.412311	+ror = 1.7	AV = 1.85446	AV2 = 12.1
passo 62	a = 0	+dist = 0.34641	+ror = 1.2	AV = 1.94621	AV2 = 14
passo 63	a = 5	+dist = 0.412311	+ror = 1.7	AV = 1.93268	AV2 = 9.33387e+25
passo 64	a = 2	+dist = 0.374166	+ror = 1.4	AV = 2.06711	AV2 = 15.8
passo 65	a = 5	+dist = 0.458258	+ror = 2.1	AV = 2.24427	AV2 = 18.3
passo 66	a = 5	+dist = 0.547723	+ror = 3	AV = 2.35937	AV2 = 20.2
passo 67	a = 0	+dist = 0.519615	+ror = 2.7	AV = 2.26898	AV2 = 19.1
passo 68	a = 4	+dist = 0.424264	+ror = 1.8	AV = 2.17687	AV2 = 18.2
passo 69	a = 1	+dist = 0.458258	+ror = 2.1	AV = 2.28627	AV2 = 19.5
passo 70	a = 3	+dist = 0.489898	+ror = 2.4	AV = 2.3023	AV2 = 19
passo 71	a = 2	+dist = 0.458258	+ror = 2.1	AV = 2.23136	AV2 = 18.1
passo 72	a = 0	+dist = 0.424264	+ror = 1.8	AV = 2.24662	AV2 = 18.6
passo 73	a = 3	+dist = 0.458258	+ror = 2.1	AV = 2.25107	AV2 = 18.5
passo 74	a = 2	+dist = 0.424264	+ror = 1.8	AV = 2.19834	AV2 = 18
passo 75	a = 4	+dist = 0.331662	+ror = 1.1	AV = 2.08437	AV2 = 16.9
passo 76	a = 2	+dist = 0.316228	+ror = 1	AV = 2.09988	AV2 = 17.4
passo 77	a = 2	+dist = 0.331662	+ror = 1.1	AV = 2.1037	AV2 = 17.3
passo 78	a = 4	+dist = 0.244949	+ror = 0.6	AV = 2.08937	AV2 = 17.8
passo 79	a = 1	+dist = 0.3	+ror = 0.9	AV = 2.15026	AV2 = 18.3
passo 80	a = 2	+dist = 0.34641	+ror = 1.2	AV = 2.27175	AV2 = 19.8
passo 81	a = 0	+dist = 0.3	+ror = 0.9	AV = 2.33999	AV2 = 21.9
passo 82	a = 0	+dist = 0.282843	+ror = 0.8	AV = 2.25133	AV2 = 20.2
passo 83	a = 2	+dist = 0.360555	+ror = 1.3	AV = 2.42928	AV2 = 22.7
passo 84	a = 4	+dist = 0.316228	+ror = 1	AV = 2.44207	AV2 = 23.6
passo 85	a = 2	+dist = 0.412311	+ror = 1.7	AV = 2.51867	AV2 = 23.9
passo 86	a = 1	+dist = 0.424264	+ror = 1.8	AV = 2.59557	AV2 = 25.4
passo 87	a = 5	+dist = 0.458258	+ror = 2.1	AV = 2.73859	AV2 = 28.1
passo 88	a = 2	+dist = 0.547723	+ror = 3	AV = 2.86289	AV2 = 29.8
passo 89	a = 3	+dist = 0.458258	+ror = 2.1	AV = -nan	AV2 = 29.3
passo 90	a = 0	+dist = 0.447214	+ror = 2	AV = 2.90082	AV2 = 32.4
passo 91	a = 4	+dist = 0.412311	+ror = 1.7	AV = 3.01125	AV2 = 35.9
passo 92	a = 0	+dist = 0.424264	+ror = 1.8	AV = 3.15863	AV2 = 39.8
passo 93	a = 3	+dist = 0.331662	+ror = 1.1	AV = 3.12504	AV2 = 41.3
passo 94	a = 0	+dist = 0.374166	+ror = 1.4	AV = 3.26234	AV2 = 44
passo 95	a = 5	+dist = 0.412311	+ror = 1.7	AV = 3.27605	AV2 = 43.9
